VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,TotalSalesPrice,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesPurchaseRatio
12546,JIM BEAM BRANDS COMPANY,757,Jim Beam Rye,13.95,17.99,750.0,81,1129.95,13.0,246.86999999999998,10.27,246.86999999999998,123880.97,-883.08,-357.7105359095881,0.16049382716049382,0.21847869374751092
8320,SHAW ROSS INT L IMP LTD,8696,Gekkeikan Plum Wine,7.48,10.99,750.0,151,1129.48,11.0,120.89,1.22,76.93,3151.92,-1008.59,-834.3039126478617,0.0728476821192053,0.10703155434359174
653,STATE WINE & SPIRITS,13303,Plungerhead Znfdl Lodi,8.96,12.99,750.0,126,1128.96,22.0,307.78,2.46,125.91,8014.9800000000005,-821.1800000000001,-266.80745987393595,0.1746031746031746,0.2726225907029478
8892,TRINCHERO FAMILY ESTATES,45503,Rebel The Show Cab Svgn,6.8,11.99,750.0,166,1128.8,18.0,179.82,2.0,119.88,11595.97,-948.98,-527.7388499610722,0.10843373493975904,0.15930191353649895
7153,PINE STATE TRADING CO,6499,Kinky Liqueur,12.68,17.99,750.0,89,1128.52,31.0,557.6899999999999,24.470000000000002,521.7099999999999,15884.82,-570.83,-102.35614768061112,0.34831460674157305,0.49417821571615916
12546,JIM BEAM BRANDS COMPANY,3385,Pinnacle Strawbry Kiwi Vodka,12.97,16.99,1750.0,87,1128.3899999999999,49.0,832.5099999999999,90.08,645.6199999999999,123880.97,-295.88,-35.54071422565495,0.5632183908045977,0.7377856946623065
3252,E & J GALLO WINERY,31488,Barefoot Chard Cal,3.44,6.29,750.0,328,1128.32,60.0,377.4,6.7,157.25,61966.91,-750.92,-198.97191308956016,0.18292682926829268,0.3344795802609189
480,BACARDI USA INC,7345,M & R Asti,6.75,13.99,750.0,167,1127.25,72.0,791.28,8.0,417.62,89286.27,-335.97,-42.45905368516834,0.4311377245508982,0.7019560878243513
12546,JIM BEAM BRANDS COMPANY,3883,Hornitos Lime Shot Tequila,15.43,20.99,750.0,73,1126.3899999999999,16.0,367.84,12.620000000000001,321.85999999999996,123880.97,-758.55,-206.21737712048716,0.2191780821917808,0.32656539919566047
1392,CONSTELLATION BRANDS INC,6567,Clos du Bois Merlot N Cst,6.12,10.99,750.0,184,1126.08,25.0,324.75,2.7800000000000002,142.89000000000001,79528.99,-801.3299999999999,-246.75288683602767,0.1358695652173913,0.28838981244671785
1392,CONSTELLATION BRANDS INC,6938,Vendange Chard,4.69,9.99,1500.0,240,1125.6,88.0,703.12,19.8,207.74,79528.99,-422.4799999999999,-60.08647172602115,0.36666666666666664,0.6246624022743427
3960,DIAGEO NORTH AMERICA INC,3836,Smirnoff Citrus Vodka,7.91,10.99,750.0,142,1123.22,51.0,660.49,40.19,465.64,257032.07,-462.73,-70.05859286287453,0.3591549295774648,0.5880326205017717
3960,DIAGEO NORTH AMERICA INC,3743,Smirnoff Sorbet Pine/Coconut,8.02,10.99,750.0,140,1122.8,20.0,259.8,15.76,168.87,257032.07,-863.0,-332.1785989222479,0.14285714285714285,0.2313858211613823
10754,PERFECTA WINES,17433,Vino Pnt Grigio,7.79,11.99,750.0,144,1121.76,0.0,0.0,0.0,0.0,28720.52,-1121.76,-inf,0.0,0.0
2000,SOUTHERN WINE & SPIRITS NE,19453,Wente Southern Hill Cab Svgn,9.65,16.99,750.0,116,1119.4,10.0,139.9,1.1,111.92,19016.59,-979.5000000000001,-700.1429592566119,0.08620689655172414,0.12497766660711095
3252,E & J GALLO WINERY,28890,Peter Vella Wh Znfdl Cal,9.99,14.99,5000.0,112,1118.88,40.0,599.6,30.0,374.75,61966.91,-519.2800000000001,-86.60440293529021,0.35714285714285715,0.5358930358930358
480,BACARDI USA INC,7221,M & R Sweet Vermouth,6.86,10.49,1500.0,163,1118.18,68.0,713.32,15.21,398.62,89286.27,-404.86,-56.75713564739527,0.4171779141104294,0.6379294925682806
3960,DIAGEO NORTH AMERICA INC,2445,Seagrams VO,9.08,11.99,750.0,123,1116.84,30.0,359.7,23.66,275.77,257032.07,-757.1399999999999,-210.4920767306088,0.24390243902439024,0.322069410121414
9552,M S WALKER INC,4878,Allens Coffee Brandy,4.92,6.99,750.0,227,1116.84,26.0,204.74,20.490000000000002,166.29,55551.82,-912.0999999999999,-445.49184331347067,0.1145374449339207,0.18332079796568893
9165,ULTRA BEVERAGE COMPANY LLP,2235,Deanston SM Virgin Oak,19.56,29.99,750.0,57,1114.92,3.0,89.97,2.37,89.97,68054.7,-1024.95,-1139.2130710236745,0.05263157894736842,0.08069637283392529
3960,DIAGEO NORTH AMERICA INC,3593,Smirnoff Blue 100 Proof Trav,21.42,26.99,1750.0,52,1113.8400000000001,11.0,296.89,20.23,269.9,257032.07,-816.9500000000002,-275.16925460608314,0.21153846153846154,0.26654636213459737
8673,STE MICHELLE WINE ESTATES,43590,Ch Ste Michelle Indn Wls Cab,10.2,15.99,750.0,109,1111.8,14.0,223.86,1.55,127.92,15919.7,-887.9399999999999,-396.64969177164295,0.12844036697247707,0.20134916351861848
480,BACARDI USA INC,4075,Bacardi Pineapple Fusion,15.87,19.99,1750.0,70,1110.8999999999999,12.0,287.88,22.080000000000002,287.88,89286.27,-823.0199999999999,-285.88995414756147,0.17142857142857143,0.2591412368349987
8892,TRINCHERO FAMILY ESTATES,14054,Seaglass Rsl,6.07,8.99,750.0,183,1110.81,5.0,44.95,0.55,26.97,11595.97,-1065.86,-2371.212458286985,0.0273224043715847,0.04046596627686103
4950,LATITUDE BEVERAGE COMPANY,24301,Mija Sangria,5.47,9.99,750.0,203,1110.41,0.0,0.0,0.0,0.0,1610.0,-1110.41,-inf,0.0,0.0
12546,JIM BEAM BRANDS COMPANY,661,Red Stag by Jim Beam,9.99,16.99,750.0,111,1108.8899999999999,41.0,594.09,32.33,420.21,123880.97,-514.7999999999998,-86.65353734282681,0.36936936936936937,0.5357519681844007
1587,VINEYARD BRANDS INC,23848,Dom Cherrier Sancerre,10.73,15.99,750.0,103,1105.19,1.0,17.99,0.11,17.99,6070.09,-1087.2,-6043.357420789328,0.009708737864077669,0.016277744098299837
90056,SWEET BABY VINEYARD,18812,Sweet Baby Vyds Strawberry,8.5,12.49,750.0,130,1105.0,16.0,199.84,1.77,124.9,703.64,-905.16,-452.9423538831065,0.12307692307692308,0.18085067873303168
3960,DIAGEO NORTH AMERICA INC,3042,Ciroc Red Berry Vodka,8.63,11.99,375.0,128,1104.64,31.0,480.19,12.17,294.31,257032.07,-624.45,-130.0422749328391,0.2421875,0.43470270857473925
9819,TREASURY WINE ESTATES,35959,Stags Leap Winery Cab Svgn,32.46,49.99,750.0,34,1103.6399999999999,2.0,109.98,0.22,54.99,14836.57,-993.6599999999999,-903.4915439170757,0.058823529411764705,0.09965206045449605
3960,DIAGEO NORTH AMERICA INC,2433,Crown Royal X R Extra Rare,91.9,131.99,750.0,12,1102.8,0.0,0.0,0.0,0.0,257032.07,-1102.8,-inf,0.0,0.0
12546,JIM BEAM BRANDS COMPANY,3257,Gilbeys London Dry Trav,4.5,5.99,750.0,245,1102.5,66.0,398.34,52.0,271.55,123880.97,-704.1600000000001,-176.7736104835066,0.2693877551020408,0.3613061224489796
12546,JIM BEAM BRANDS COMPANY,3521,Effen Vodka,18.65,24.99,750.0,59,1100.3500000000001,0.0,0.0,0.0,0.0,123880.97,-1100.3500000000001,-inf,0.0,0.0
653,STATE WINE & SPIRITS,892,Uncle Val's Botanical Gin,24.99,33.99,750.0,44,1099.56,7.0,238.93,5.5200000000000005,204.94,8014.9800000000005,-860.6299999999999,-360.2017327250659,0.1590909090909091,0.21729600931281606
9206,PHILLIPS PRODUCTS CO.,1746,Tomatin 12 Yr Old Scotch,19.99,26.99,750.0,55,1099.45,1.0,26.99,0.79,26.99,2211.83,-1072.46,-3973.545757688033,0.01818181818181818,0.024548637955341304
1392,CONSTELLATION BRANDS INC,4386,Casa Noble Reposado,34.34,49.99,750.0,32,1098.88,2.0,89.98,1.58,89.98,79528.99,-1008.9000000000001,-1121.2491664814404,0.0625,0.08188337216074548
3252,E & J GALLO WINERY,20446,Barefoot Bubbly Brut Cuvee,6.7,9.99,187.0,164,1098.8000000000002,4.0,39.96,0.12,39.96,61966.91,-1058.8400000000001,-2649.74974974975,0.024390243902439025,0.036366945759009825
4425,MARTIGNETTI COMPANIES,32090,Rutherford Ranch Cab Svgn,11.68,18.99,750.0,94,1097.92,0.0,0.0,0.0,0.0,144929.24,-1097.92,-inf,0.0,0.0
90024,VINILANDIA USA,26290,Pratsch Organic Rose,8.78,14.99,750.0,125,1097.5,0.0,0.0,0.0,0.0,2802.64,-1097.5,-inf,0.0,0.0
10000,MAJESTIC FINE WINES,12109,La Crema Pnt Nr Monterey,12.33,20.99,750.0,89,1097.37,0.0,0.0,0.0,0.0,17587.59,-1097.37,-inf,0.0,0.0
4692,KOBRAND CORPORATION,21864,Dom Carneros Brut,15.23,22.99,750.0,72,1096.56,3.0,74.97,0.33,49.98,9139.38,-1021.5899999999999,-1362.6650660264104,0.041666666666666664,0.06836835193696651
3960,DIAGEO NORTH AMERICA INC,4268,Capt Morgan Private Stock,18.25,22.99,750.0,60,1095.0,28.0,643.7199999999999,22.080000000000002,505.78,257032.07,-451.2800000000001,-70.10501460262229,0.4666666666666667,0.5878721461187214
4425,MARTIGNETTI COMPANIES,41159,Phillips Earthquake Ld Znfdl,16.1,25.99,750.0,68,1094.8,3.0,77.97,0.33,77.97,144929.24,-1016.8299999999999,-1304.1297935103244,0.04411764705882353,0.07121848739495798
1392,CONSTELLATION BRANDS INC,42350,Black Box Shiraz Cntrl Coast,10.73,16.99,3000.0,102,1094.46,11.0,208.89,4.95,94.94999999999999,79528.99,-885.57,-423.9408301019676,0.10784313725490197,0.19086124664217968
3960,DIAGEO NORTH AMERICA INC,3123,Booths London Dry Gin,10.94,14.99,1750.0,100,1094.0,16.0,239.84,29.4,164.89000000000001,257032.07,-854.16,-356.1374249499666,0.16,0.21923217550274224
4425,MARTIGNETTI COMPANIES,2245,DUKE Kentucky Bourbon,26.66,36.99,750.0,41,1093.06,3.0,110.97,2.37,110.97,144929.24,-982.0899999999999,-885.0049562944939,0.07317073170731707,0.10152233180246281
9206,PHILLIPS PRODUCTS CO.,2050,Tomatin 18 Yr Single Malt,49.61,64.99,750.0,22,1091.42,0.0,0.0,0.0,0.0,2211.83,-1091.42,-inf,0.0,0.0
1485,CASTLE BRANDS CORP.,4294,Goslings Black Seal 151,11.71,15.99,750.0,93,1089.03,7.0,111.93,5.53,111.93,8497.59,-977.0999999999999,-872.956311980702,0.07526881720430108,0.1027795377537809
8352,LUXCO INC,4932,Arrow Ginger Brandy,4.5,7.99,750.0,242,1089.0,66.0,527.34,51.93,311.61,10261.6,-561.66,-106.50813516896119,0.2727272727272727,0.48424242424242425
7153,PINE STATE TRADING CO,19645,Line 39 Pnt Nr,5.26,9.99,750.0,207,1088.82,21.0,209.79,2.3400000000000003,79.92,15884.82,-879.03,-419.00471900471905,0.10144927536231885,0.1926764754504877
17035,PERNOD RICARD USA,5780,Malibu Black,10.44,14.99,750.0,104,1085.76,13.0,194.87,10.26,179.88,123780.22,-890.89,-457.17144763175446,0.125,0.179477969348659
10000,MAJESTIC FINE WINES,23464,Kendall Jackson Pnt Gris VR,7.23,10.99,750.0,150,1084.5,0.0,0.0,0.0,0.0,17587.59,-1084.5,-inf,0.0,0.0
1392,CONSTELLATION BRANDS INC,26463,Ravenswood Vints Blend Znfdl,4.65,7.99,750.0,233,1083.45,301.0,2047.39,33.69,620.29,79528.99,963.94,47.08140608286648,1.2918454935622317,1.889694955927823
480,BACARDI USA INC,4258,Bacardi Mango Fusion,7.35,11.99,750.0,147,1080.45,28.0,335.72,22.1,287.76,89286.27,-744.73,-221.83069224353628,0.19047619047619047,0.31072238419177195
12546,JIM BEAM BRANDS COMPANY,2373,Jim Beam Maple,10.29,16.99,750.0,105,1080.45,64.0,927.36,50.4,594.09,123880.97,-153.09000000000003,-16.508152173913047,0.6095238095238096,0.8583090379008746
480,BACARDI USA INC,4066,Bacardi Oakheart Spiced Rum,12.85,21.99,1750.0,84,1079.3999999999999,73.0,1463.27,134.16,901.55,89286.27,383.8700000000001,26.233709431615498,0.8690476190476191,1.355632758940152
3252,E & J GALLO WINERY,44037,Barefoot Pnt Grigio Cal,3.42,6.29,750.0,315,1077.3,53.0,333.37,5.92,125.8,61966.91,-743.93,-223.15445301016888,0.16825396825396827,0.309449549800427
3252,E & J GALLO WINERY,7340,Viniq Shimmery Liqueur,14.72,19.99,750.0,73,1074.56,14.0,265.85999999999996,11.05,246.86999999999998,61966.91,-808.7,-304.1826525238848,0.1917808219178082,0.24741289458010718
12546,JIM BEAM BRANDS COMPANY,2800,Laphroaig 15 Yr Single Malt,59.69,81.99,750.0,18,1074.42,1.0,81.99,0.79,81.99,123880.97,-992.4300000000001,-1210.4281009879255,0.05555555555555555,0.07631093985592226
8664,"STOLI GROUP,(USA) LLC",599,Stolichnaya Razberi,17.03,22.99,1000.0,63,1072.89,11.0,252.89,11.55,160.92999999999998,18544.49,-820.0000000000001,-324.2516509154178,0.1746031746031746,0.23570915937328146
9744,FREDERICK WILDMAN & SONS,25645,Marchesi Di Barolo Zagara Mo,9.93,14.99,750.0,108,1072.44,0.0,0.0,0.0,0.0,3999.93,-1072.44,-inf,0.0,0.0
10754,PERFECTA WINES,18742,Ca'Momi Cab Svgn Napa,11.25,16.99,750.0,95,1068.75,0.0,0.0,0.0,0.0,28720.52,-1068.75,-inf,0.0,0.0
3089,SIDNEY FRANK IMPORTING CO,5952,Jagermeister Liqueur,1.42,1.99,50.0,751,1066.42,235.0,467.65,12.25,135.32,8549.55,-598.7700000000001,-128.03806265369403,0.3129161118508655,0.43852328350931147
4425,MARTIGNETTI COMPANIES,46424,Hob Nob Pnt Nr VDP D'Oc,6.62,9.99,750.0,161,1065.82,4.0,39.96,0.44,29.97,144929.24,-1025.86,-2567.217217217217,0.024844720496894408,0.03749225948096302
1128,BROWN-FORMAN CORP,8725,Chambord Royale de France,11.84,15.99,375.0,90,1065.6000000000001,12.0,191.88,4.69,175.89000000000001,68601.68,-873.7200000000001,-455.3470919324579,0.13333333333333333,0.18006756756756753
3252,E & J GALLO WINERY,8701,Sheffield Cream Sherry,6.7,9.99,1500.0,159,1065.3,27.0,269.73,5.97,229.77,61966.91,-795.5699999999999,-294.95050606161715,0.16981132075471697,0.25319628273725714
8004,SAZERAC CO INC,5628,Baja Rosa Strawberry Liqueur,7.24,9.99,750.0,147,1064.28,20.0,199.8,15.77,159.84,50293.62,-864.48,-432.67267267267266,0.1360544217687075,0.1877325515841696
12546,JIM BEAM BRANDS COMPANY,5662,Skinnygirl W Peach Margarita,7.19,9.99,750.0,148,1064.12,7.0,76.93,5.5200000000000005,65.94,123880.97,-987.1899999999998,-1283.231509164175,0.0472972972972973,0.0722944780663835
6785,PALM BAY INTERNATIONAL INC,8386,Dry Sack Sherry,9.85,13.49,750.0,108,1063.8,17.0,229.33,13.39,161.88,13605.41,-834.4699999999999,-363.87302141019484,0.1574074074074074,0.2155762361346118
3960,DIAGEO NORTH AMERICA INC,3923,Don Julio 1942 Anejo Tequila,106.34,133.99,750.0,10,1063.4,1.0,133.99,0.79,133.99,257032.07,-929.4100000000001,-693.641316516158,0.1,0.12600150460786158
3252,E & J GALLO WINERY,11440,Peter Vella Sangria B/B,9.14,13.99,5000.0,116,1060.24,21.0,314.79,15.75,254.83,61966.91,-745.45,-236.80866609485687,0.1810344827586207,0.2969044744586132
9552,M S WALKER INC,4494,Jenkins French Brandy,9.55,15.99,1750.0,111,1060.05,36.0,611.64,66.14,254.84999999999997,55551.82,-448.40999999999997,-73.31273298018442,0.32432432432432434,0.5769916513372011
7153,PINE STATE TRADING CO,2030,Glen Moray 12 Yr Scotch,23.48,30.99,750.0,45,1056.6,2.0,69.98,1.57,34.99,15884.82,-986.6199999999999,-1409.8599599885679,0.044444444444444446,0.06623130796895704
8320,SHAW ROSS INT L IMP LTD,19150,Esclans Whispering Angel Ros,14.66,21.99,750.0,72,1055.52,0.0,0.0,0.0,0.0,3151.92,-1055.52,-inf,0.0,0.0
28750,SMOKY QUARTZ DISTILLERY LLC,4524,Smoky Quartz Granite Cst Rum,21.99,27.49,750.0,48,1055.52,0.0,0.0,0.0,0.0,342.65,-1055.52,-inf,0.0,0.0
9819,TREASURY WINE ESTATES,33037,Beringer Fndrs Est Cab Svgn,10.88,15.99,1500.0,97,1055.3600000000001,29.0,521.7099999999999,6.46,323.82,14836.57,-533.6500000000002,-102.28862778171788,0.29896907216494845,0.4943431625227409
3252,E & J GALLO WINERY,10420,Barefoot Moscato Cal,3.35,6.29,750.0,315,1055.25,80.0,503.2,8.94,169.83,61966.91,-552.05,-109.70786963434023,0.25396825396825395,0.47685382610755744
480,BACARDI USA INC,3961,Grey Goose La Poire Vodka,18.17,23.99,750.0,58,1053.86,4.0,95.96,3.16,95.96,89286.27,-957.8999999999999,-998.22842851188,0.06896551724137931,0.0910557379538079
3252,E & J GALLO WINERY,6995,Carlo Rossi Spanada Sangria,4.79,6.99,1500.0,220,1053.8,34.0,237.66,7.65,90.87,61966.91,-816.14,-343.4065471682235,0.15454545454545454,0.22552666540140445
4425,MARTIGNETTI COMPANIES,15233,Flowers Chard Sonoma Cst,29.21,49.99,750.0,36,1051.56,0.0,0.0,0.0,0.0,144929.24,-1051.56,-inf,0.0,0.0
12546,JIM BEAM BRANDS COMPANY,8448,Cruzan Aged Dark Rum,7.51,10.99,750.0,140,1051.4,31.0,309.69,24.450000000000003,269.73,123880.97,-741.71,-239.50079111369433,0.22142857142857142,0.2945501236446642
480,BACARDI USA INC,3343,Bombay Sapphire Gin,9.46,12.49,375.0,111,1050.06,37.0,480.63,14.5,363.72,89286.27,-569.43,-118.4757505773672,0.3333333333333333,0.45771670190274844
12546,JIM BEAM BRANDS COMPANY,4682,Courvoisier VSOP Cognac,26.92,34.99,750.0,39,1049.88,9.0,341.91,7.1000000000000005,303.92,123880.97,-707.97,-207.06326226199877,0.23076923076923078,0.325665790376043
1587,VINEYARD BRANDS INC,13497,Mohua Svgn Bl Marlboro,6.8,10.99,750.0,154,1047.1999999999998,0.0,0.0,0.0,0.0,6070.09,-1047.1999999999998,-inf,0.0,0.0
11567,CAMPARI AMERICA,5142,Carolans Irish Cream,17.45,26.49,1750.0,60,1047.0,15.0,404.84999999999997,27.580000000000002,350.87,20964.81,-642.1500000000001,-158.61430159318272,0.25,0.38667621776504296
1392,CONSTELLATION BRANDS INC,41546,Monkey Bay Svgn Bl,5.51,7.99,750.0,190,1046.9,10.0,116.9,1.11,56.95,79528.99,-930.0000000000001,-795.551753635586,0.05263157894736842,0.11166300506256567
8004,SAZERAC CO INC,5218,Chila Orchata Cinnamon Cream,10.68,13.99,750.0,98,1046.6399999999999,38.0,531.62,29.93,265.81,50293.62,-515.0199999999999,-96.8774688687408,0.3877551020408163,0.5079301383474739
1128,BROWN-FORMAN CORP,1323,Early Times,13.59,16.99,1750.0,77,1046.43,23.0,456.77,42.300000000000004,396.79999999999995,68601.68,-589.6600000000001,-129.09341681809227,0.2987012987012987,0.43650315835746295
12546,JIM BEAM BRANDS COMPANY,4211,Cruzan Passion Fruit Rum,7.8,9.99,750.0,134,1045.2,13.0,141.87,10.24,108.9,123880.97,-903.33,-636.730809896384,0.09701492537313433,0.13573478760045923
1392,CONSTELLATION BRANDS INC,25877,Ravage Cab Svgn,9.67,14.99,750.0,108,1044.3600000000001,0.0,0.0,0.0,0.0,79528.99,-1044.3600000000001,-inf,0.0,0.0
9165,ULTRA BEVERAGE COMPANY LLP,43092,Oberon Cab Svgn Napa,14.48,21.99,750.0,72,1042.56,3.0,65.97,0.33,43.98,68054.7,-976.5899999999999,-1480.3547066848566,0.041666666666666664,0.06327693370165746
3960,DIAGEO NORTH AMERICA INC,3580,Smirnoff Orange Vodka,8.08,10.99,750.0,129,1042.32,44.0,567.5600000000001,34.64,400.69,257032.07,-474.7599999999999,-83.64930580026778,0.34108527131782945,0.5445160795149283
2000,SOUTHERN WINE & SPIRITS NE,12479,Geyser Peak Cab Svgn,7.94,15.99,750.0,131,1040.14,2.0,26.98,0.22,26.98,19016.59,-1013.1600000000001,-3755.2260934025207,0.015267175572519083,0.02593881592862499
1590,DIAGEO CHATEAU ESTATE WINES,32906,Sterling Vintners Cab Svgn C,6.42,9.95,750.0,162,1040.04,78.0,865.22,8.700000000000001,355.68,7259.75,-174.81999999999994,-20.20526571276669,0.48148148148148145,0.8319103111418792
4425,MARTIGNETTI COMPANIES,18642,Yellow Tail Pink Moscato,5.81,9.99,1500.0,179,1039.99,7.0,104.93,1.56,74.95,144929.24,-935.06,-891.1274182788525,0.03910614525139665,0.10089520091539342
4425,MARTIGNETTI COMPANIES,43872,Joseph Carr Cab Svgn Napa,12.66,18.99,750.0,82,1038.12,33.0,594.39,3.68,325.14,144929.24,-443.7299999999999,-74.65300560238227,0.4024390243902439,0.5725638654490811
3252,E & J GALLO WINERY,16289,Barefoot Bubbly Pink Moscato,5.19,7.99,750.0,200,1038.0,47.0,465.53000000000003,5.23,235.76,61966.91,-572.47,-122.97166670246816,0.235,0.4484874759152216
9206,PHILLIPS PRODUCTS CO.,9037,Prairie Organic Cucumber Vod,11.93,17.99,750.0,87,1037.91,16.0,319.84,12.610000000000001,259.87,2211.83,-718.0700000000002,-224.50912956478243,0.1839080459770115,0.3081577400738021
3924,HEAVEN HILL DISTILLERIES,3363,Lunazul Reposado Tequila,9.69,13.99,750.0,107,1036.83,27.0,377.73,21.28,265.81,14069.87,-659.0999999999999,-174.48971487570483,0.2523364485981308,0.36431237522062443
12546,JIM BEAM BRANDS COMPANY,3999,Hornitos Anejo Tequila,15.93,21.99,750.0,65,1035.45,6.0,143.94,4.720000000000001,95.96,123880.97,-891.51,-619.3622342642768,0.09230769230769231,0.13901202375778646
2000,SOUTHERN WINE & SPIRITS NE,38946,Bully Hill Sweet Walter Rd,5.59,8.99,750.0,185,1034.15,26.0,285.74,2.88,164.85,19016.59,-748.4100000000001,-261.9199272065514,0.14054054054054055,0.2763042111879321
1392,CONSTELLATION BRANDS INC,6420,R M Woodbridge Chard Cal,3.18,7.99,750.0,325,1033.5,46.0,367.54,5.140000000000001,199.75,79528.99,-665.96,-181.1938836589215,0.14153846153846153,0.355626511852927
9552,M S WALKER INC,35393,Tohu Svgn Bl Marlboro,8.6,12.99,750.0,120,1032.0,4.0,55.96,0.44,41.97,55551.82,-976.04,-1744.1744102930663,0.03333333333333333,0.05422480620155039
9552,M S WALKER INC,39256,Schmitt Sohne Relax Mosel,5.16,9.99,750.0,200,1032.0,27.0,296.73,2.99,197.82,55551.82,-735.27,-247.79092103932868,0.135,0.28752906976744186
1392,CONSTELLATION BRANDS INC,8345,R M Woodbridge Cab Svgn Cal,3.37,7.99,750.0,306,1031.22,33.0,263.67,3.6900000000000004,127.84,79528.99,-767.55,-291.1025145067698,0.10784313725490197,0.25568743818001977
8673,STE MICHELLE WINE ESTATES,6581,Ch Ste Michelle Merlot Colum,7.86,12.99,750.0,131,1029.6599999999999,22.0,310.78,2.44,226.84,15919.7,-718.8799999999999,-231.31475641933199,0.16793893129770993,0.301827787813453
12546,JIM BEAM BRANDS COMPANY,3045,Pinnacle Salted Caramel,7.8,12.99,750.0,132,1029.6,46.0,501.54,36.26,328.7,123880.97,-528.06,-105.28771384136857,0.3484848484848485,0.4871212121212122
480,BACARDI USA INC,4196,Bacardi Dragon Berry Rum,7.46,11.99,750.0,138,1029.48,46.0,551.54,36.26,395.67,89286.27,-477.94000000000005,-86.65554628857383,0.3333333333333333,0.5357462019660411
4425,MARTIGNETTI COMPANIES,41537,Mer Soleil Chard Central Cst,18.06,27.99,750.0,57,1029.42,1.0,27.95,0.11,27.95,144929.24,-1001.47,-3583.0769230769233,0.017543859649122806,0.027151211361737676
7153,PINE STATE TRADING CO,33143,Our Daily Red,6.2,9.99,750.0,166,1029.2,26.0,259.74,2.89,129.87,15884.82,-769.46,-296.24239624239624,0.1566265060240964,0.25237077341624564
3252,E & J GALLO WINERY,13694,MacMurray Ranch Chard Sonoma,10.8,15.99,750.0,95,1026.0,2.0,31.98,0.22,31.98,61966.91,-994.02,-3108.2551594746715,0.021052631578947368,0.031169590643274854
8892,TRINCHERO FAMILY ESTATES,15548,Seaglass Chard,6.07,8.99,750.0,169,1025.83,2.0,17.98,0.22,17.98,11595.97,-1007.8499999999999,-5605.3948832035585,0.011834319526627219,0.01752727060039188
9552,M S WALKER INC,5195,Jenkins Melon Liqueur,4.72,10.99,750.0,217,1024.24,32.0,259.68,25.19,155.81,55551.82,-764.56,-294.4239063462723,0.14746543778801843,0.25353432789190034
2561,EDRINGTON AMERICAS,2658,Cutty Sark,12.49,15.99,750.0,82,1024.1799999999998,14.0,251.85999999999999,11.040000000000001,215.88,9654.5,-772.3199999999998,-306.6465496704518,0.17073170731707318,0.24591380421410303
4692,KOBRAND CORPORATION,18507,Cakebread Cab Svgn,44.51,64.99,750.0,23,1023.73,4.0,259.96,0.44,194.96999999999997,9139.38,-763.77,-293.80289275273117,0.17391304347826086,0.25393414279155635
4425,MARTIGNETTI COMPANIES,2678,Michter's Straight Rye,31.99,44.99,750.0,32,1023.68,9.0,377.91,7.11,377.91,144929.24,-645.77,-170.87930988859782,0.28125,0.36916809940606443
1392,CONSTELLATION BRANDS INC,12684,Kim Crawford Pnt Gr Marlboro,10.66,15.99,750.0,96,1023.36,0.0,0.0,0.0,0.0,79528.99,-1023.36,-inf,0.0,0.0
3664,WILLIAM GRANT & SONS INC,2770,Hudson Single Malt Whiskey,31.0,39.99,375.0,33,1023.0,2.0,79.98,0.78,79.98,30234.420000000002,-943.02,-1179.0697674418604,0.06060606060606061,0.07818181818181819
12546,JIM BEAM BRANDS COMPANY,5489,DeKuyper Hot Damn Cinnamon,7.57,9.99,750.0,135,1021.95,37.0,405.63,29.18,339.69,123880.97,-616.32,-151.94142445085424,0.2740740740740741,0.3969176574196389
4425,MARTIGNETTI COMPANIES,3174,Cold River Vodka,21.73,29.99,750.0,47,1021.31,3.0,89.97,2.37,89.97,144929.24,-931.3399999999999,-1035.1672779815492,0.06382978723404255,0.088092743633177
1485,CASTLE BRANDS CORP.,8520,Brady's Irish Cream,12.3,15.99,1750.0,83,1020.9,2.0,33.98,3.68,33.98,8497.59,-986.92,-2904.414361389053,0.024096385542168676,0.03328435693995494
8664,"STOLI GROUP,(USA) LLC",8788,Stolichnaya,1.53,1.99,50.0,666,1018.98,35.0,69.65,1.77,33.83,18544.49,-949.33,-1363.0007178750898,0.052552552552552555,0.06835266639188209
11567,CAMPARI AMERICA,5358,Irish Mist Honey Liqueur,18.83,25.99,750.0,54,1016.82,14.0,363.85999999999996,11.06,363.85999999999996,20964.81,-652.96,-179.4536360138515,0.25925925925925924,0.3578411124879526
3960,DIAGEO NORTH AMERICA INC,3610,Smirnoff Cranberry Vodka,8.26,10.99,750.0,123,1015.98,53.0,688.47,41.74,324.75,257032.07,-327.51,-47.57070024837684,0.43089430894308944,0.6776412921514203
9165,ULTRA BEVERAGE COMPANY LLP,24753,Girl & Dragon Cab Svgn,7.58,13.99,750.0,134,1015.7199999999999,0.0,0.0,0.0,0.0,68054.7,-1015.7199999999999,-inf,0.0,0.0
10754,PERFECTA WINES,5076,M Duffau Napoleon Armagnac,28.12,35.99,750.0,36,1012.3199999999999,7.0,251.93,5.52,179.95000000000002,28720.52,-760.3899999999999,-301.82590402095815,0.19444444444444445,0.2488639955745219
