VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalExciseTax,TotalSalesPrice,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesPurchaseRatio
3664,WILLIAM GRANT & SONS INC,5337,Drambuie,20.6,27.99,750.0,235,4841.0,33.0,989.67,26.0,689.77,30234.420000000002,-3851.33,-389.15294997322343,0.14042553191489363,0.20443503408386696
4425,MARTIGNETTI COMPANIES,3295,Tito's Handmade Vodka,7.93,9.99,375.0,609,4829.37,90.0,899.1,35.3,599.4,144929.24,-3930.27,-437.13380046713377,0.1477832512315271,0.1861733518036514
8004,SAZERAC CO INC,3960,Tortilla Gold Tequila Liquer,9.52,11.99,1750.0,507,4826.64,124.0,1734.76,227.84,629.55,50293.62,-3091.88,-178.23099448915124,0.2445759368836292,0.3594135879203752
9552,M S WALKER INC,8413,St Elder Elderflower Liqueur,14.28,17.99,750.0,337,4812.360000000001,26.0,467.73999999999995,20.48,359.79999999999995,55551.82,-4344.620000000001,-928.8536366357381,0.0771513353115727,0.09719555477977539
11567,CAMPARI AMERICA,8258,Campari,21.05,27.99,750.0,228,4799.4,16.0,479.84,12.61,299.9,20964.81,-4319.5599999999995,-900.2084028009335,0.07017543859649122,0.09997916406217444
3252,E & J GALLO WINERY,20863,W Hill Est Chard N Coast,8.84,12.99,750.0,539,4764.76,5.0,64.95,0.55,64.95,61966.91,-4699.81,-7236.043110084681,0.00927643784786642,0.01363132665653674
2555,DISARONNO INTERNATIONAL LLC,5312,Amaretto DiSaronno,14.7,21.99,750.0,324,4762.8,57.0,1310.4299999999998,44.910000000000004,781.66,5861.03,-3452.3700000000003,-263.45321764611623,0.17592592592592593,0.2751385739480977
8664,"STOLI GROUP,(USA) LLC",3680,Stolichnaya Ohranj,18.93,24.99,1750.0,251,4751.43,25.0,650.75,45.97,416.84,18544.49,-4100.68,-630.1467537456781,0.099601593625498,0.13695876820241484
9815,WINE GROUP INC,6349,Glen Ellen Chard RSV,4.63,6.99,1500.0,1024,4741.12,236.0,1649.64,53.010000000000005,517.26,27100.41,-3091.4799999999996,-187.40331223782155,0.23046875,0.3479431020518359
7245,PROXIMO SPIRITS INC.,5587,Jose Cuervo Golden Margarita,13.17,17.99,1750.0,358,4714.86,32.0,639.68,58.82,479.76,38994.78,-4075.18,-637.065407703852,0.0893854748603352,0.13567316951086564
3664,WILLIAM GRANT & SONS INC,4218,Sailor Jerry Spiced Navy Rum,12.31,16.99,750.0,382,4702.42,34.0,645.66,26.810000000000002,531.7199999999999,30234.420000000002,-4056.76,-628.3121147353096,0.08900523560209424,0.13730377124969695
4425,MARTIGNETTI COMPANIES,6595,Bogle Merlot,4.48,6.95,750.0,1049,4699.52,76.0,756.74,8.49,287.21,144929.24,-3942.7800000000007,-521.0217511959195,0.07244995233555768,0.16102495574016068
3664,WILLIAM GRANT & SONS INC,717,Balvenie 30 Yr Single Barrel,781.24,999.99,750.0,6,4687.44,0.0,0.0,0.0,0.0,30234.420000000002,-4687.44,-inf,0.0,0.0
2561,EDRINGTON AMERICAS,2656,Cutty Sark,19.52,24.99,1750.0,240,4684.8,25.0,785.75,45.97,689.78,9654.5,-3899.05,-496.2201718103723,0.10416666666666667,0.16772327527322403
9815,WINE GROUP INC,15393,Cupcake Pnt Grigio,4.51,6.99,750.0,1036,4672.36,97.0,775.03,10.83,335.58,27100.41,-3897.33,-502.8618247035599,0.09362934362934362,0.16587548904622076
